,Name,University,Sport,Sponsors,Number_Sponsors,Instagram,Twitter,Conference,Insta_dummy,Twitter_dummy,group
4507,Jack Olsen,Northwestern University,Football,Barstool Sports,1,jackolsen82,@j_olsen82,Big 10,1,1,0
4508,Claire Leach,University of North Dakota,Track and Field,Barstool Sports,1,claireleach_,@claireleach_,Non Power Five Conference,1,1,1
4509,Martina Asciuto,Seattle University,Tennis,Barstool Sports,1,martinaasciuto,,Non Power Five Conference,1,0,1
4510,Trevor Barrett,Robert Morris University,Lacrosse,Barstool Sports,1,t_barrett19,@t_barrett11,Non Power Five Conference,1,1,1
4511,Megan Brockbank,University of Massachusetts Lowell,Lacrosse,Barstool Sports,1,megan.lynnnn,@meganbrockbank,Non Power Five Conference,1,1,1
4512,Justin Tiernan,Lehigh University,Lacrosse,Barstool Sports,1,justintiernan44,@just_tiernan,Non Power Five Conference,1,1,1
4513,Cole Williamson,Murray State University,Football,Barstool Sports,1,cole__willy,@ColeWill75,Non Power Five Conference,1,1,1
4514,Kyle Johnson,College of the Holy Cross,Baseball,Barstool Sports,1,kylejohnson_121,@kjohnson_17,Non Power Five Conference,1,1,1
4515,Hayden White,Louisiana State University,Golf,Barstool Sports,1,haydenwhite64,@white_hayden,Southeastern Conference,1,1,0
4516,Terry O'Connor,Michigan State University,Football,Barstool Sports,1,td.oconnor,@td_oconnor,Big 10,1,1,0
4517,Noah Hughes,Butler University,Football,Barstool Sports,1,noahhughes_,@hughesnoah_,Non Power Five Conference,1,1,1
4518,Ryan Forrest,University of Massachusetts Lowell,Cross Country,Barstool Sports,1,ryanjforrest,@stopryan7,Non Power Five Conference,1,1,1
4519,Brooke Nelson,University of Washington,Softball,Barstool Sports,1,brookenelson10,@1010_brooke,Pac-12,1,1,0
4520,Carson Wells,University of Colorado Boulder,Football,Barstool Sports,1,wells_16,@wells_16,Pac-12,1,1,0
4521,Kyle Greenwell,University of Alabama at Birmingham,Football,Barstool Sports,1,kgwell23,@kgwell23,Non Power Five Conference,1,1,1
4522,Wade Elliott,Louisiana Tech University,Baseball,Barstool Sports,1,wake_n_rake24.7,@Wadelliott,Non Power Five Conference,1,1,1
4523,Julia Nearis,Boston University,Ice Hockey,Barstool Sports,1,julianearis16,@JuliaNearis,Non Power Five Conference,1,1,1
4524,Jacob Bernard,University of Louisiana at Lafayette,Football,Barstool Sports,1,jacob_bernard_7,@JJBernard7,Non Power Five Conference,1,1,1
4525,Lauren Hollis,Marshall University,Soccer,Barstool Sports,1,laurenholliss,@laurenhollisss,Non Power Five Conference,1,1,1
4526,Claudia Satzke,University of South Carolina,Cross Country,Barstool Sports,1,claudiasatzke9,@claudia_satzke,Southeastern Conference,1,1,0
4527,Danny Orgler,Butler University,Football,Barstool Sports,1,dannyorgs54,@dorgler33,Non Power Five Conference,1,1,1
4528,Casey O'Brien,University of Wisconsin - Madison,Ice Hockey,Barstool Sports,1,casey_obrien,@casey_obrien5,Big 10,1,1,0
4529,Seth Taylor,Coastal Carolina University,Golf,Barstool Sports,1,sethtaylor13,,Non Power Five Conference,1,0,1
4530,Chase Carraway,Hobart and William Smith College,Sailing,Barstool Sports,1,chase.carraway,,Non Power Five Conference,1,0,1
4531,Jordan Holly,Murray State University,Baseball,Barstool Sports,1,jordan_holly2,@jordan_holly2,Non Power Five Conference,1,1,1
4532,Mason Richman,University of Iowa,Football,Barstool Sports,1,masonrichman1,@RichmanMason,Big 10,1,1,0
4533,Samantha Chapps,Southern New Hampshire University,Basketball,Barstool Sports,1,sam.chapps,@samchappss,Non Power Five Conference,1,1,1
4534,David Missry,Lehigh University,Tennis,Barstool Sports,1,missry,@david_missry,Non Power Five Conference,1,1,1
4535,KK Callaghan,Butler University,Lacrosse,Barstool Sports,1,kk_callaghan,,Non Power Five Conference,1,0,1
4536,Wilson Beaverstock,University of Alabama at Birmingham,Football,Barstool Sports,1,wilsonbeaverstock,@Wbeavers1,Non Power Five Conference,1,1,1
4537,Tavian Tumbleson,Abilene Christian University,Football,Barstool Sports,1,tj_tumbleson34,@tjtumbleson34,Non Power Five Conference,1,1,1
4538,Jay Larosa,University of Massachusetts Amherst,Football,Barstool Sports,1,jaylarosa6,@Jlarosa6,Non Power Five Conference,1,1,1
4539,Paxton Cottrell,Wofford College,Football,Barstool Sports,1,pcc.81,@paxc81,Non Power Five Conference,1,1,1
4540,Joe Buck,Georgetown University,Soccer,Barstool Sports,1,joe_buck47,@joe_buck47,Non Power Five Conference,1,1,1
4541,Sophia Miller,Liberty University,Swimming and Diving,Barstool Sports,1,sophiagmillerr,,Non Power Five Conference,1,0,1
4542,Braeden O'Shaughnessy,Youngstown State University,Baseball,Barstool Sports,1,braedeno19,@braedeno19,Non Power Five Conference,1,1,1
4543,Mateo Boudourian,Pennsylvania State University,Track and Field,Barstool Sports,1,mateobou,,Big 10,1,0,0
4544,Katie Anderson,University of Michigan,Field Hockey,Barstool Sports,1,kt_anderson,,Big 10,1,0,0
4545,Christopher Toudle,North Carolina State University,Football,Barstool Sports,1,chris_toudle,@ctoudle1,Atlantic Coast Conference,1,1,0
4546,Lauren Bowers,Florida Institute of Technology,Swimming and Diving,Barstool Sports,1,lauren_n_bowers,@lauren_n_bowers,Non Power Five Conference,1,1,1
4547,Gavin Clements,Middle Tennessee State University,Golf,Barstool Sports,1,gavinclements_,@gavinbclements,Non Power Five Conference,1,1,1
4548,Aidan Riley,University of Delaware,Baseball,Barstool Sports,1,Aidan_Riley__,@Aidan_Riley_,Non Power Five Conference,1,1,1
4549,Matthew Sollenberger,University of Dayton,Cross Country,Barstool Sports,1,matthewsollenberger,,Non Power Five Conference,1,0,1
4550,Taylor Sharrits,University of Akron,Volleyball,Barstool Sports,1,tayy_sharrits,@tayy_sharrits,Non Power Five Conference,1,1,1
4551,Jackson Naylor,Canisius College,Lacrosse,Barstool Sports,1,jacksonnaylor_,@Jacksonnaylor_,Non Power Five Conference,1,1,1
4552,Taytum Geier,St. Cloud State University,Ice Hockey,Barstool Sports,1,taytumgeier,@taytumgeier,Non Power Five Conference,1,1,1
4553,Matt Hoelke,Rider University,Wrestling,Barstool Sports,1,Matt__hoelke,@matt_hoelke,Non Power Five Conference,1,1,1
4554,Kyle Westfall,New Mexico State University,Baseball,Barstool Sports,1,kdubwesty,@kdubwesty,Non Power Five Conference,1,1,1
4555,Jordan Jones,Cornell University,Basketball,Barstool Sports,1,shotta.jones,@ShottaJones,Non Power Five Conference,1,1,1
4556,Jenna Diebert,Winthrop University,Lacrosse,Barstool Sports,1,jenna.diebert,@JennaDiebert,Non Power Five Conference,1,1,1
4557,Drew Woodley,Iowa State University,Wrestling,Barstool Sports,1,drewwoodley_,@woodley28,Big 12,1,1,0
4558,Ryan Wilcox,"University of California, Santa Barbara",Volleyball,Barstool Sports,1,ryanwilcox_,,Non Power Five Conference,1,0,1
4559,Kyle Elias,"University of Nevada, Reno",Cross Country,Barstool Sports,1,kyleelias,@kyle_elias,Non Power Five Conference,1,1,1
4560,Alexia Inman,Santa Clara University,Beach Volleyball,Barstool Sports,1,alexiainman,@inman_alexia,Non Power Five Conference,1,1,1
4561,Gavin Grant,University of Oregon,Baseball,Barstool Sports,1,gavingrant__,@gavingrant__,Pac-12,1,1,0
4562,Owen Spencer,The Citadel,Basketball,Barstool Sports,1,owenkiserspencer,@owenspencer22,Non Power Five Conference,1,1,1
4563,Gabi Haack,Bradley University,Basketball,Barstool Sports,1,_gabihaack,@Gabihaack11,Non Power Five Conference,1,1,1
4564,Ian Fitzpatrick,Boston College,Swimming and Diving,Barstool Sports,1,iancfitzpatrick,,Atlantic Coast Conference,1,0,0
4565,Myrthe Maring,Florida International University,Volleyball,Barstool Sports,1,_myrthe_m,,Non Power Five Conference,1,0,1
4566,Cole Anderson,"University of California, Santa Barbara",Basketball,Barstool Sports,1,cole3anderson,@Cole3Anderson,Non Power Five Conference,1,1,1
4567,Delaney Couture,Providence College,Ice Hockey,Barstool Sports,1,drcouture13,@delaneycouture,Non Power Five Conference,1,1,1
4568,Boston Merila,University of Minnesota,Baseball,Barstool Sports,1,boston_merila25,@Boston_Merila,Big 10,1,1,0
4569,Maxine Paholek,Boise State University,Cross Country,Barstool Sports,1,maxpaholek,@maxpaholek,Non Power Five Conference,1,1,1
4570,Owen Wiebe,University of San Diego,Soccer,Barstool Sports,1,owen.wiebe,@owen_wiebe,Non Power Five Conference,1,1,1
4571,Justin Gabbard,Xavier University,Golf,Barstool Sports,1,justindgabbard,@justingolfs,Non Power Five Conference,1,1,1
4572,Ajare Sanni,"University of California, Santa Barbara",Basketball,Barstool Sports,1,_ajare,@_ajare,Non Power Five Conference,1,1,1
4573,Artem Shlaine,University of Connecticut,Ice Hockey,Barstool Sports,1,artem.shlaine_32,@artem_shlaine,Non Power Five Conference,1,1,1
4574,Michaela Herwig,Purdue University,Swimming and Diving,Barstool Sports,1,michaela.herwig,@michaela_herwig,Big 10,1,1,0
4575,Jonah Cey,Pennsylvania State University,Swimming and Diving,Barstool Sports,1,jonahcey,,Big 10,1,0,0
4576,Jake Lazzaro,Liberty University,Baseball,Barstool Sports,1,jakelazzaro,@JakeLazzaro,Non Power Five Conference,1,1,1
4577,Jake Andrey,Rider University,Baseball,Barstool Sports,1,jake_andrey33,@JakeAndrey,Non Power Five Conference,1,1,1
4578,Amber Stieve,Old Dominion University,Lacrosse,Barstool Sports,1,amberstieve,@AmberStieve,Non Power Five Conference,1,1,1
4579,Logan Zapp,University of North Carolina at Chapel Hill,Tennis,Barstool Sports,1,lczapp,,Atlantic Coast Conference,1,0,0
4580,Courtney Wristen,University of San Diego,Basketball,Barstool Sports,1,courtneywristen,@courtneywristen,Non Power Five Conference,1,1,1
4581,AJ Calabro,Syracuse University,Football,Barstool Sports,1,aj_calabro,@AJ_Calabro,Atlantic Coast Conference,1,1,0
4582,Nolan Rumler,University of Michigan,Football,Barstool Sports,1,nrum70,,Big 10,1,0,0
4583,Aly Manzo,University of Arkansas,Softball,Barstool Sports,1,alymanzoo,@alymanzoo,Southeastern Conference,1,1,0
4584,Jilly Shimkin,Pennsylvania State University,Soccer,Barstool Sports,1,jillyshimkin,@jillyshimkin,Big 10,1,1,0
4585,Anthony Gubitosi,University of Delaware,Baseball,Barstool Sports,1,anthonygubitosi,@GubitosiAnthony,Non Power Five Conference,1,1,1
4586,Brice Gilman,Hanover College,Basketball,Barstool Sports,1,bricegilman,@bricegilman2,Non Power Five Conference,1,1,1
4587,Joey Nicolai,"University of California, Riverside",Baseball,Barstool Sports,1,joeynicolai_,@joeynicolai_,Non Power Five Conference,1,1,1
4588,Triston Lara,University of Northern Iowa,Wrestling,Barstool Sports,1,triston.lara,@T_Bird100,Non Power Five Conference,1,1,1
4589,Cameron Isabelle,Eastern Michigan University,Ice Hockey,Barstool Sports,1,camizzy29,@CamIsabelle1,Non Power Five Conference,1,1,1
4590,Abbie Shaw,Liberty University,Swimming and Diving,Barstool Sports,1,abbiesshaw,,Non Power Five Conference,1,0,1
4591,Fletcher Abee,The Citadel,Basketball,Barstool Sports,1,fletcher_abee,@FletcherAbee_,Non Power Five Conference,1,1,1
4592,Andrew Palmiter,Lindenwood University,Ice Hockey,Barstool Sports,1,andrewpalmiter,@palmiter5,Non Power Five Conference,1,1,1
4593,Nicholas Rieple,Pennsylvania State University,Soccer,Barstool Sports,1,nicholasrieple,@NickRieple,Big 10,1,1,0
4594,Noa Levy,Lehigh University,Track and Field,Barstool Sports,1,n_oa____,,Non Power Five Conference,1,0,1
4595,Riley Ennis,Florida Atlantic University,Softball,Barstool Sports,1,rileyennis_,@ennis_riley,Non Power Five Conference,1,1,1
4596,Jack Snyder,Mount Saint Mary College,Golf,Barstool Sports,1,jacksnyder3,@JackSnyder333,Non Power Five Conference,1,1,1
4597,Karly van Leer,University of Colorado Boulder,Lacrosse,Barstool Sports,1,klvl19,@karlyvl_19,Pac-12,1,1,0
4598,Dayne Davis,University of Tennessee,Football,Barstool Sports,1,_daynedavis,@BigDayne_Davis,Southeastern Conference,1,1,0
4599,Katie Hinkle,Long Island University,Softball,Barstool Sports,1,katie.hinkle,@_katiehinkle,Non Power Five Conference,1,1,1
4600,Bridget Soraghan,Merrimack College,Softball,Barstool Sports,1,bridgetsoraghan,@SoraghanBridget,Non Power Five Conference,1,1,1
4601,Andy Carlson,Boston University,Swimming and Diving,Barstool Sports,1,andyycarlson,,Non Power Five Conference,1,0,1
4602,Dejoun Lee,University of Delaware,Football,Barstool Sports,1,dlee_double3,@DejounL,Non Power Five Conference,1,1,1
4603,Josh Van Bramer,Alfred State College,Baseball,Barstool Sports,1,jvanbram,@jvanbramer14,Non Power Five Conference,1,1,1
4604,Nan Garcia,University of Toledo,Basketball,Barstool Sports,1,thenan.garcia24,@nan_garcia24,Non Power Five Conference,1,1,1
4605,Chase Hindmarsh,University of Utah,Swimming and Diving,Barstool Sports,1,chase_h3,,Pac-12,1,0,0
4606,Nick Taylor,University of Central Florida,Soccer,Barstool Sports,1,itsnicktaylor,@NickkTaylorrrr,Non Power Five Conference,1,1,1
4607,Sam Choi,University of New Mexico,Golf,Barstool Sports,1,_bigsammy_57,,Non Power Five Conference,1,0,1
4608,Joe Rondi,Syracuse University,Football,Barstool Sports,1,joseph.rondii,@JoeRondi,Atlantic Coast Conference,1,1,0
4609,Peyton Carr,High Point University,Baseball,Barstool Sports,1,peyton.carr,@PeytonCarr11,Non Power Five Conference,1,1,1
4610,Patrick Coyle,Towson University,Football,Barstool Sports,1,pat_coyle22,@pcoyle32,Non Power Five Conference,1,1,1
4611,Ciera Fowler,Sacred Heart University,Field Hockey,Barstool Sports,1,cieraf0wler,@cierafowlerr,Non Power Five Conference,1,1,1
4612,Emma Clark,University of Notre Dame,Softball,Barstool Sports,1,emmaclark_,@emmaa_clarkk,Atlantic Coast Conference,1,1,0
4613,Kendall Mansukhani,Baylor University,Cross Country,Barstool Sports,1,kendallmansukhani,@kendallmansu1,Big 12,1,1,0
4614,Tori Gilbert,University of Virginia,Softball,Barstool Sports,1,torimadz,@torimadz,Atlantic Coast Conference,1,1,0
4615,Allison Oestreicher,University of Vermont,Soccer,Barstool Sports,1,allisonoestreicher0,@Allisonoestreic,Non Power Five Conference,1,1,1
4616,Jack Todd,University of Minnesota,Football,Barstool Sports,1,jacktodd10,@jacktodd_10,Big 10,1,1,0
4617,Candace Yingling,"University of California, Berkeley",Softball,Barstool Sports,1,cyingling_10,@cyingling14,Pac-12,1,1,0
4618,Eliud Kipsang,University of Alabama,Cross Country,Barstool Sports,1,eliud_kipz,@Eliudkipsang3,Southeastern Conference,1,1,0
4619,Alex Madrigal,George Mason University,Wrestling,Barstool Sports,1,madrizzle20,@Alex_TheRealMvp,Non Power Five Conference,1,1,1
4620,Cassie Giddings,University of North Dakota,Soccer,Barstool Sports,1,cassandragiddings,@CassieGiddings,Non Power Five Conference,1,1,1
4621,Will Knight,Virginia Military Institute,Baseball,Barstool Sports,1,will.knight.2,@will_knight_2,Non Power Five Conference,1,1,1
4622,Elijah Smith,University of Dayton,Football,Barstool Sports,1,eliijahsmith,@eliijahsmith,Non Power Five Conference,1,1,1
4623,Sebastian Paz,Bucknell University,Soccer,Barstool Sports,1,sebaspazz,,Non Power Five Conference,1,0,1
4624,Brendan Jones,Kansas State University,Baseball,Barstool Sports,1,brendanjones.5,@BrendanTJones,Big 12,1,1,0
4625,Lincoln Ransom,Old Dominion University,Baseball,Barstool Sports,1,l1nc.2,@LincolnGrey,Non Power Five Conference,1,1,1
4626,Tyler Drew,University of Nebraska - Lincoln,Track and Field,Barstool Sports,1,tyldrew,,Big 10,1,0,0
4627,Jack Kenyon,Gettysburg College,Cross Country,Barstool Sports,1,jackenya16,@jackenyon16,Non Power Five Conference,1,1,1
4628,Joseph Dimino,New Jersey Institute of Technology,Baseball,Barstool Sports,1,joedimino_,@Joseph65977050,Non Power Five Conference,1,1,1
4629,Jack Nolan,Drexel University,Lacrosse,Barstool Sports,1,_jacknolan,@Jack2Nolan,Non Power Five Conference,1,1,1
4630,J.D. Brock,Clemson University,Baseball,Barstool Sports,1,jdbrock10,@jdbrock2,Atlantic Coast Conference,1,1,0
4631,Kaitlyn Govea,Siena College,Softball,Barstool Sports,1,kaitlyngovea,@kaitlyngovea54,Non Power Five Conference,1,1,1
4632,Sean Kelly Darks,North Carolina Agricultural and Technical State University,Basketball,Barstool Sports,1,seankellydarks,@seankellydarks,Non Power Five Conference,1,1,1
4633,Austin DaSilva,"University at Albany, SUNY",Soccer,Barstool Sports,1,dasilva_austin,@dasilva_austin,Non Power Five Conference,1,1,1
4634,Mateo Vandamia,University of Delaware,Football,Barstool Sports,1,mateovandamia,@_mvandamia,Non Power Five Conference,1,1,1
4635,Jada Habisch,University of Connecticut,Ice Hockey,Barstool Sports,1,j.habisch,@HabischJada,Non Power Five Conference,1,1,1
4636,Jim Jarvis,University of Alabama,Baseball,Barstool Sports,1,jimjarvis_,@jimjarvis22,Southeastern Conference,1,1,0
4637,Autumn DeSantis,Jacksonville University,Volleyball,Barstool Sports,1,autumndesantis_,@AutumnReanna,Non Power Five Conference,1,1,1
4638,Cooper Prue,Michigan State University,Swimming and Diving,Barstool Sports,1,cooperprue,@cooper_prue,Big 10,1,1,0
4639,Preston Cameron,University of Southern Indiana,Tennis,Barstool Sports,1,prestoncameron,,Non Power Five Conference,1,0,1
4640,Cintia Khouzami,Merrimack College,Track and Field,Barstool Sports,1,cinchinn,@ckhouzami11,Non Power Five Conference,1,1,1
4641,Dylan McFadden,Lehigh University,Football,Barstool Sports,1,dylan_mcfadden7,@DylanMcFadden18,Non Power Five Conference,1,1,1
4642,Katelyn Bliesner,New Jersey Institute of Technology,Volleyball,Barstool Sports,1,katelyn.bliesner,@BliesnerKatelyn,Non Power Five Conference,1,1,1
4643,Sally Rainey,University of New Hampshire,Soccer,Barstool Sports,1,sally.rainey,@SallyRainey5,Non Power Five Conference,1,1,1
4644,Coby Ingle,North Carolina State University,Baseball,Barstool Sports,1,thecobyingle,@thecobyingle,Atlantic Coast Conference,1,1,0
4645,Shawn Rapp,University of North Carolina at Chapel Hill,Baseball,Barstool Sports,1,srapp10,@ShawnRapp7,Atlantic Coast Conference,1,1,0
4646,Sara James,University of Rhode Island,Track and Field,Barstool Sports,1,sarajames99,@sarajames99,Non Power Five Conference,1,1,1
4647,Caleb Johnson,University of North Texas,Football,Barstool Sports,1,_calebj19_,@_CalebJ19_,Non Power Five Conference,1,1,1
4648,Miles Cramer,Miami University,Lacrosse,Barstool Sports,1,mdcrame10,@mdcrame10,Non Power Five Conference,1,1,1
4649,Ethan Dang,Stanford University,Swimming and Diving,Barstool Sports,1,ethanvdang,@ethandang0213,Pac-12,1,1,0
4650,Gabby Mahaffey,University of Akron,Lacrosse,Barstool Sports,1,gabby.mahaffey,@Gabby_Mahaffey7,Non Power Five Conference,1,1,1
4651,Ryan Lee,Boston University,Soccer,Barstool Sports,1,ryanlee_2,,Non Power Five Conference,1,0,1
4652,Mary Shroll,Loyola Marymount University,Volleyball,Barstool Sports,1,maryshroll,@mshroll9,Non Power Five Conference,1,1,1
4653,Ryan McCoy,Montclair State University,Lacrosse,Barstool Sports,1,ryanmccoy14,@RHMcCoy28,Non Power Five Conference,1,1,1
4654,Krista Peterson,University of Hawaii at Manoa,Soccer,Barstool Sports,1,kristaapeterson,@kriistapeterson,Non Power Five Conference,1,1,1
4655,Katarina Baehren,Sam Houston State University,Soccer,Barstool Sports,1,kbaehren,@KBaehren,Non Power Five Conference,1,1,1
4656,Gavin Gulash,Robert Morris University,Ice Hockey,Barstool Sports,1,gavingulash,@gavingulash1,Non Power Five Conference,1,1,1
4657,Shane McDonough,Towson University,Football,Barstool Sports,1,shanee_mc,@shanee_mc,Non Power Five Conference,1,1,1
4658,Taylor Curcio,Long Island University,Soccer,Barstool Sports,1,taylor_curcio,@taylorrcurcio,Non Power Five Conference,1,1,1
4659,Daniel Worth,University of Virginia,Swimming and Diving,Barstool Sports,1,daniel.worth,@DanielW_orth,Atlantic Coast Conference,1,1,0
4660,Brendan Pulley,University of Vermont,Soccer,Barstool Sports,1,brendanpulley,,Non Power Five Conference,1,0,1
4661,Kaden Bohlsen,University of Nebraska Omaha,Ice Hockey,Barstool Sports,1,kadenbohlsen29,@kadenbohlsen12,Non Power Five Conference,1,1,1
4662,Sean Connolly,University of Rhode Island,Football,Barstool Sports,1,sconnnn,@SeanCon205,Non Power Five Conference,1,1,1
4663,Andrew Cooke,Colgate University,Soccer,Barstool Sports,1,andrew__cooke,@ajcookie0917,Non Power Five Conference,1,1,1
4664,Mark Tucker,University of North Georgia,Baseball,Barstool Sports,1,marktuck9,@m__tucker13,Non Power Five Conference,1,1,1
4665,Trent Buttrick,University of Massachusetts Amherst,Basketball,Barstool Sports,1,trent_buttrick,@Trent_Buttrick,Non Power Five Conference,1,1,1
4666,Cole Frederick,Jacksonville State University,Baseball,Barstool Sports,1,cole_frederick,@cole_frederick,Non Power Five Conference,1,1,1
4667,Riddhi Singh,Stanford University,Rowing,Barstool Sports,1,riddhising,@Riddhising,Pac-12,1,1,0
4668,Buck Brumlow,University of Georgia,Golf,Barstool Sports,1,buck_brumlow,@brumlow_buck,Southeastern Conference,1,1,0
4669,Daniel Harper,University of Kentucky,Baseball,Barstool Sports,1,_danielharper_,@danielharper09,Southeastern Conference,1,1,0
4670,Justin Thorsteinson,Oregon State University,Baseball,Barstool Sports,1,justin_thor,@thor_justin33,Pac-12,1,1,0
4671,Christiana Constantino,Sacred Heart University,Field Hockey,Barstool Sports,1,christie_constantino,@Cconstantino32,Non Power Five Conference,1,1,1
4672,Preston Forst,Stanford University,Swimming and Diving,Barstool Sports,1,prestonforst,,Pac-12,1,0,0
4673,Klay Reeves,The Ohio State University,Wrestling,Barstool Sports,1,klay.reeves,@klayreeves12,Big 10,1,1,0
4674,Kelly Quinn,Binghamton University,Lacrosse,Barstool Sports,1,Kellyyyquinn8,,Non Power Five Conference,1,0,1
4675,Gabby Ciancio,Seton Hall University,Softball,Barstool Sports,1,gabbyciancio,@gabby_ciancio,Non Power Five Conference,1,1,1
4676,Anthony Prokurat,Villanova University,Tennis,Barstool Sports,1,anthony.prokurat,@antprokurat,Non Power Five Conference,1,1,1
4677,Allan Magid,Fairfield University,Tennis,Barstool Sports,1,Allan.Magid,,Non Power Five Conference,1,0,1
4678,Sarah Pintel,George Washington University,Volleyball,Barstool Sports,1,sarahpintel,@sarahpintel,Non Power Five Conference,1,1,1
4679,Maxwell Kachkarov,Davidson College,Tennis,Barstool Sports,1,maxkachkarov,,Non Power Five Conference,1,0,1
4680,Rachel Sorkenn,George Washington University,Soccer,Barstool Sports,1,rachelsorkenn,@rachel_sorkenn,Non Power Five Conference,1,1,1
4681,Audra Tosone,University of Massachusetts Amherst,Lacrosse,Barstool Sports,1,audratosone,@audrat5,Non Power Five Conference,1,1,1
4682,PJ Hall,Clemson University,Basketball,Barstool Sports,1,Pjhall_24,@pjhall020,Atlantic Coast Conference,1,1,0
4683,Reid Bauer,University of Arkansas,Football,Barstool Sports,1,reid_bauer,@reidbauer70,Southeastern Conference,1,1,0
4684,Jami Williams,Georgia Institute of Technology,Swimming and Diving,Barstool Sports,1,jami_williams,,Atlantic Coast Conference,1,0,0
4685,Eric Veit,University of Delaware,Swimming and Diving,Barstool Sports,1,veiteric,,Non Power Five Conference,1,0,1
4686,Kathryn Vanderlinde,Mercer University,Lacrosse,Barstool Sports,1,kate.vanderlinde,,Non Power Five Conference,1,0,1
4687,David Bartkus,Sacred Heart University,Lacrosse,Barstool Sports,1,david.bartkus,@dbartkus9,Non Power Five Conference,1,1,1
4688,Seth Glausier,Georgia State University,Football,Barstool Sports,1,seth_glausier66,@SethGlausier,Non Power Five Conference,1,1,1
4689,Claire Borman,Villanova University,Field Hockey,Barstool Sports,1,Claire_borman,@ClaireBorman10,Non Power Five Conference,1,1,1
4690,JaQuan Jackson,Oklahoma State University - Stillwater,Wrestling,Barstool Sports,1,J.q.44,@JaQuanJackson44,Big 12,1,1,0
4691,Margo Carlin,Boston College,Field Hockey,Barstool Sports,1,_margocarlin,@_margocarlin,Atlantic Coast Conference,1,1,0
4692,Lindsay Schuster,Columbia University,Lacrosse,Barstool Sports,1,Lindsayschusterr,@Lindsayschu5,Non Power Five Conference,1,1,1
4693,Alexa Skoubas,Iona College,Lacrosse,Barstool Sports,1,Lexii_36,,Non Power Five Conference,1,0,1
4694,Reid Colwell,Villanova University,Lacrosse,Barstool Sports,1,Reid__Colwell,@ReidColwell43,Non Power Five Conference,1,1,1
4695,Joseph Badalamenti,Virginia Tech,Track and Field,Barstool Sports,1,joey_jdb,,Atlantic Coast Conference,1,0,0
4696,Louis Ragusa,Pace University,Lacrosse,Barstool Sports,1,Louielax18,@Louis_Ragusa,Non Power Five Conference,1,1,1
4697,Abbey Forbes,"University of California, Los Angeles",Tennis,Barstool Sports,1,abbeytforbes,@abbfor,Pac-12,1,1,0
4698,John Blanchford,Indiana University,Lacrosse,Barstool Sports,1,john_blanchford,@johnblanchford,Big 10,1,1,0
4699,Abby Gray,University of South Carolina,Swimming and Diving,Barstool Sports,1,abbyygrayyy,@AbbyGray02,Southeastern Conference,1,1,0
4700,Sydney Rusnock,Northeastern University,Field Hockey,Barstool Sports,1,sydney.rusnock,@sydneyrusnock,Non Power Five Conference,1,1,1
4701,Joseph Samson,East Carolina University,Football,Barstool Sports,1,JOE___SAMSON,,Non Power Five Conference,1,0,1
4702,Ashley Prange,University of Alabama,Softball,Barstool Sports,1,ashley_prange,@a_prange,Southeastern Conference,1,1,0
4703,Riley Rumbley,Towson University,Soccer,Barstool Sports,1,ri.rum,@rileyrumbley,Non Power Five Conference,1,1,1
4704,Jace Warkentien,Western Illinois University,Baseball,Barstool Sports,1,Jacethomas6,@Ace_Witha_J,Non Power Five Conference,1,1,1
4705,Maddy Dunigan,Siena College,Volleyball,Barstool Sports,1,maddydunigann,,Non Power Five Conference,1,0,1
4706,Wyatt Leto,University of Hartford,Soccer,Barstool Sports,1,Wyattleto,@leto_wyatt,Non Power Five Conference,1,1,1
4707,Jessikha Ribeiro,Murray State University,Track and Field,Barstool Sports,1,jessikhasilva,@JessikhaSilva,Non Power Five Conference,1,1,1
4708,Jackson Moehler,Clemson University,Soccer,Barstool Sports,1,jacksonmoehler,@jackson_moehler,Atlantic Coast Conference,1,1,0
4709,Ethan Carde,Texas Tech University,Football,Barstool Sports,1,e.carde,@ethancarde,Big 12,1,1,0
4710,Jamie Rutherford,Ashland University,Softball,Barstool Sports,1,jamie__rutherford,@jamiee_9,Non Power Five Conference,1,1,1
4711,Euphenie Andre,University of Missouri,Track and Field,Barstool Sports,1,Euphenieandre,@EuphenieAndre,Southeastern Conference,1,1,0
4712,Nicole Fiantaco,Morehead State University,Soccer,Barstool Sports,1,nickifiantaco,@nickifiantaco,Non Power Five Conference,1,1,1
4713,Stephen Nichols,Loyola University Maryland,Soccer,Barstool Sports,1,stephennichols6,@s10nichols,Non Power Five Conference,1,1,1
4714,Travis Maynard,Towson University,Lacrosse,Barstool Sports,1,killa_tbone45,,Non Power Five Conference,1,0,1
4715,Johnny Piacentino,Pennsylvania State University,Baseball,Barstool Sports,1,johnnypiacentino,@Jpiacentino14,Big 10,1,1,0
4716,Alex Kilpatrick,Duke University,Track and Field,Barstool Sports,1,alexkilpat,@alexkilpat,Atlantic Coast Conference,1,1,0
4717,Camille Patton,University of Akron,Lacrosse,Barstool Sports,1,Camillepatton_,@camille_patton,Non Power Five Conference,1,1,1
4718,Lexie Kopko,University of South Florida,Softball,Barstool Sports,1,Lexiekopko_24,@lexiekopko,Non Power Five Conference,1,1,1
4719,Alec Pierce,University of Cincinnati,Football,Barstool Sports,1,alec_pierce,@ajpierce00,Non Power Five Conference,1,1,1
